voltage,current,temperature,resistance,frequency,power,fault
224.31,8.37,36.64,20.47,49.9,1878.47,0.0
236.76,11.07,32.59,22.72,49.97,2620.69,0.0
240.85,17.94,45.0,19.93,47.0,4321.83,1.0
234.32,11.37,38.96,19.47,50.07,2663.31,0.0
225.82,9.8,36.23,21.26,51.1,2213.53,0.0
244.34,13.26,75.32,22.56,48.44,3240.36,1.0
229.54,14.16,60.74,23.0,49.11,3250.49,1.0
220.88,13.57,67.36,23.29,51.2,2997.58,1.0
269.64,17.22,52.08,20.99,48.23,4642.18,1.0
219.23,9.38,68.16,16.68,49.34,2057.31,1.0
200.93,14.12,50.84,18.51,50.74,2837.96,1.0
232.97,9.86,40.51,25.8,50.0,2298.05,0.0
230.61,12.1,42.45,24.28,49.54,2791.28,0.0
231.7,9.36,29.96,23.83,50.4,2169.16,0.0
240.13,20.13,41.17,20.02,48.39,4834.59,1.0
224.86,7.36,28.83,22.08,50.11,1654.76,0.0
257.54,15.77,48.86,24.8,49.6,4062.09,1.0
238.4,13.68,58.73,22.17,48.5,3261.64,1.0
267.8,9.93,68.82,22.13,47.33,2659.98,1.0
228.11,9.34,34.71,25.72,50.31,2130.79,0.0
232.63,10.85,32.15,21.62,49.79,2522.95,0.0
236.04,17.37,66.68,22.28,47.53,4099.94,1.0
238.56,10.01,34.75,21.39,50.39,2387.89,0.0
211.98,13.22,57.28,23.6,48.5,2802.1,1.0
232.21,9.63,32.66,19.07,50.12,2235.21,0.0
247.35,16.03,56.64,18.14,50.02,3965.46,1.0
231.45,9.08,38.55,24.91,49.77,2101.55,0.0
236.0,9.23,39.54,24.53,49.77,2178.09,0.0
224.66,9.89,26.29,27.0,51.11,2222.69,0.0
228.8,15.99,67.37,14.89,50.29,3657.49,1.0
223.6,11.21,31.44,22.85,50.5,2506.22,0.0
238.33,17.5,56.08,17.25,50.25,4171.87,1.0
232.53,9.41,33.04,25.25,49.55,2188.1,0.0
236.31,10.76,31.34,23.46,49.79,2542.46,0.0
235.79,10.0,35.58,21.08,50.25,2357.46,0.0
218.82,9.17,32.98,20.48,49.32,2006.91,0.0
229.05,11.01,40.02,20.31,49.56,2521.89,0.0
243.12,16.52,43.66,20.83,50.22,4015.77,1.0
231.38,8.34,29.02,23.05,49.14,1928.7,0.0
215.93,14.46,53.81,20.38,48.97,3122.99,1.0
227.43,9.48,33.34,22.78,50.61,2155.73,0.0
240.58,12.21,56.15,22.36,46.72,2936.81,1.0
235.91,9.79,32.73,23.5,49.99,2309.0,0.0
228.87,11.34,33.91,25.46,50.15,2594.7,0.0
239.82,24.72,59.91,18.09,47.47,5928.37,1.0
248.97,20.55,62.05,15.43,48.61,5117.22,1.0
249.21,14.67,53.22,19.15,49.24,3655.34,1.0
232.12,13.79,45.04,25.14,50.17,3200.62,1.0
235.28,9.42,52.96,25.22,51.48,2215.26,1.0
218.15,10.01,33.46,20.25,50.33,2183.41,0.0
215.58,15.33,54.23,23.76,47.66,3304.44,1.0
220.75,9.27,35.51,23.93,49.8,2045.32,0.0
221.18,8.44,39.41,23.27,50.11,1866.05,0.0
255.54,18.64,64.78,18.22,48.56,4762.57,1.0
244.33,12.97,51.91,19.74,50.4,3169.24,1.0
227.68,14.8,71.59,23.5,50.63,3368.91,1.0
228.32,9.64,37.28,21.78,50.33,2200.09,0.0
240.73,16.44,56.76,20.73,48.3,3958.03,1.0
234.58,10.83,54.98,14.05,47.08,2539.83,1.0
240.4,11.13,36.52,24.35,48.59,2676.73,0.0
245.84,12.69,38.49,16.94,47.77,3120.01,1.0
226.97,20.92,58.37,19.97,49.32,4748.9,1.0
226.8,12.63,32.77,21.51,49.78,2865.29,0.0
210.63,15.65,51.32,22.86,49.05,3296.9,1.0
230.8,8.82,31.29,25.18,50.03,2035.62,0.0
208.04,15.7,58.45,20.46,49.54,3266.09,1.0
238.11,9.88,36.07,23.39,50.22,2352.55,0.0
224.86,11.15,34.48,22.37,50.11,2507.29,0.0
230.77,10.85,35.37,26.26,50.46,2504.4,0.0
220.58,20.3,58.45,21.86,47.57,4478.32,1.0
230.42,10.38,32.97,21.87,49.36,2392.19,0.0
224.61,10.34,42.17,23.3,49.67,2322.4,0.0
244.58,18.27,56.82,16.77,49.85,4467.52,1.0
263.72,11.92,59.55,20.33,48.46,3144.59,1.0
249.15,17.55,66.44,25.03,48.51,4371.9,1.0
235.74,16.82,52.13,17.06,46.43,3965.85,1.0
231.88,9.76,34.86,22.35,50.21,2263.26,0.0
234.05,10.13,35.37,22.08,49.92,2371.16,0.0
226.43,11.99,38.01,23.81,49.32,2715.5,0.0
223.6,15.82,60.32,16.43,49.25,3537.54,1.0
221.25,18.81,45.92,22.64,48.37,4162.7,1.0
224.9,10.11,35.36,24.28,50.04,2273.63,0.0
236.71,15.45,28.96,20.16,46.57,3657.97,1.0
234.67,9.03,66.86,25.08,50.27,2119.23,1.0
232.95,20.45,52.29,13.96,50.0,4763.76,1.0
208.81,11.18,53.17,17.53,48.9,2333.7,1.0
239.57,17.48,46.19,21.31,48.72,4188.46,1.0
231.18,9.44,34.39,22.12,49.63,2181.91,0.0
237.35,8.98,30.06,20.01,49.61,2130.77,0.0
256.67,14.24,52.19,14.21,47.57,3655.36,1.0
225.7,9.28,34.71,27.21,49.69,2094.08,0.0
226.94,10.02,34.95,20.36,50.03,2275.01,0.0
228.2,11.47,62.16,16.62,49.84,2616.85,1.0
243.86,8.48,46.36,17.28,50.87,2067.64,1.0
244.46,15.17,52.53,11.64,49.08,3707.2,1.0
240.06,13.8,59.58,18.8,51.11,3313.9,1.0
228.25,11.43,33.54,20.8,49.92,2607.96,0.0
230.65,9.1,36.65,23.46,49.74,2099.47,0.0
241.29,15.01,56.9,17.52,48.62,3621.15,1.0
233.57,9.38,38.96,22.73,50.21,2192.03,0.0
218.07,15.07,54.07,23.74,48.0,3285.27,1.0
247.68,10.5,65.44,20.9,50.24,2601.82,1.0
233.26,10.25,33.86,24.32,50.44,2390.55,0.0
232.14,9.9,49.56,15.99,50.06,2299.14,1.0
229.23,13.66,58.51,23.63,50.02,3130.91,1.0
225.97,11.2,35.67,20.85,50.29,2531.53,0.0
231.72,9.5,31.19,24.34,50.24,2201.04,0.0
225.44,11.77,42.5,22.98,50.42,2653.46,0.0
221.31,8.31,49.29,18.38,47.42,1839.92,1.0
237.15,11.1,37.35,22.25,49.49,2631.17,0.0
226.52,12.29,37.95,24.46,50.0,2785.02,0.0
232.71,9.27,33.89,23.25,50.11,2157.34,0.0
237.45,18.58,48.71,21.12,50.61,4410.73,1.0
228.21,10.53,33.24,20.66,50.16,2403.26,0.0
246.85,12.65,49.79,16.42,49.32,3121.48,1.0
226.54,11.0,33.48,22.08,49.97,2491.8,0.0
231.66,9.4,35.87,21.78,50.58,2178.74,0.0
237.25,15.87,51.07,19.67,48.86,3765.86,1.0
231.34,16.77,59.93,22.61,50.47,3878.55,1.0
241.75,8.51,34.13,22.32,49.05,2057.51,0.0
243.46,11.72,58.71,21.31,50.79,2853.18,1.0
217.49,14.63,60.53,15.08,48.9,3181.15,1.0
225.29,17.09,49.47,21.66,47.58,3849.39,1.0
230.07,10.58,35.66,22.51,49.56,2434.02,0.0
236.77,9.79,36.42,22.75,49.86,2317.19,0.0
236.04,14.88,59.74,14.22,46.71,3512.85,1.0
222.28,11.21,65.5,17.9,50.41,2491.48,1.0
256.97,16.8,63.98,18.79,47.39,4315.92,1.0
232.67,9.41,37.85,23.22,49.07,2189.5,0.0
230.15,15.78,62.81,18.55,48.9,3631.74,1.0
229.33,8.6,35.65,22.64,50.39,1972.91,0.0
234.14,9.97,52.78,21.23,49.02,2334.85,1.0
229.86,10.51,42.24,23.88,49.85,2416.06,0.0
228.23,15.68,41.08,15.54,48.87,3578.41,1.0
241.1,11.64,42.52,16.74,48.45,2807.25,1.0
223.74,10.21,32.84,19.97,49.55,2285.08,0.0
223.9,13.86,57.08,16.42,51.25,3102.74,1.0
250.88,13.81,56.97,20.91,47.23,3465.49,1.0
228.1,8.61,33.85,23.52,49.83,1964.22,0.0
218.35,17.12,58.58,23.87,46.82,3737.81,1.0
270.21,11.23,56.01,15.14,48.88,3034.42,1.0
235.26,9.02,29.88,21.65,49.5,2122.48,0.0
235.97,14.35,46.72,14.4,47.62,3385.94,1.0
240.93,14.64,58.95,18.13,48.07,3527.93,1.0
220.82,10.07,37.03,22.41,48.97,2224.26,0.0
233.5,10.23,34.57,21.81,50.24,2389.82,0.0
221.75,8.66,38.02,23.4,49.96,1919.5,0.0
193.19,16.81,54.72,22.59,49.96,3247.64,1.0
253.72,13.95,42.33,21.38,49.05,3538.48,1.0
235.58,10.94,37.81,25.26,50.7,2576.58,0.0
233.05,11.81,39.52,23.8,49.41,2751.51,0.0
229.98,13.34,58.87,19.16,47.8,3068.21,1.0
249.9,18.3,40.33,18.19,47.82,4573.59,1.0
229.29,11.58,36.99,23.79,49.48,2655.99,0.0
228.14,11.94,39.52,23.67,49.5,2722.91,0.0
226.72,8.67,31.34,23.53,49.8,1966.57,0.0
256.7,8.45,60.36,19.5,50.25,2168.2,1.0
228.93,9.32,40.79,25.69,49.94,2134.75,1.0
230.48,11.29,34.56,26.33,50.35,2602.23,0.0
236.54,11.9,35.24,21.46,49.78,2815.61,0.0
249.44,21.48,45.72,27.52,48.7,5357.73,1.0
227.96,14.57,32.18,22.02,47.32,3321.81,1.0
227.0,11.0,37.23,25.24,50.29,2496.1,0.0
236.22,17.37,59.01,18.5,49.6,4103.63,1.0
234.77,14.52,52.06,18.46,51.51,3409.78,1.0
224.92,15.94,51.78,25.3,47.91,3585.39,1.0
230.89,8.89,34.25,24.73,49.84,2051.76,0.0
239.16,16.52,57.32,22.43,49.02,3949.87,1.0
247.63,14.95,46.11,25.97,47.98,3702.33,1.0
262.33,12.53,49.35,20.53,48.52,3286.97,1.0
225.01,9.43,35.22,22.67,50.34,2120.98,0.0
265.47,17.59,64.74,19.0,45.93,4668.6,1.0
251.03,13.01,46.69,17.85,49.03,3265.07,1.0
222.66,9.36,36.24,22.66,50.15,2083.57,0.0
227.85,8.6,36.33,21.98,50.22,1958.57,0.0
256.38,7.31,55.36,20.07,49.32,1873.67,1.0
253.17,15.76,49.97,21.18,48.59,3990.29,1.0
238.93,20.5,50.7,18.59,48.8,4898.61,1.0
233.7,17.72,51.41,22.99,48.72,4139.97,1.0
248.14,14.56,45.91,22.09,49.14,3613.51,1.0
212.42,15.29,65.06,22.85,51.18,3247.69,1.0
232.91,9.43,32.52,21.23,50.65,2197.25,0.0
