voltage,current,temperature,resistance,frequency,power,fault
220,5.2,45,42.3,50,1144,0
230,5.1,46,45.1,50,1173,0
215,5.3,44,40.6,50,1139.5,0
225,5.15,47,43.7,50,1159.75,0
218,5.25,45.5,41.5,50,1144.5,0
380,8.5,65,44.7,50,3230,0
385,8.4,66,45.8,50,3234,0
375,8.6,64,43.8,50,3225,0
390,8.3,67,46.2,50,3237,0
370,8.7,63,42.9,50,3209,0
120,2.8,35,42.9,50,336,0
125,2.75,36,45.5,50,343.75,0
118,2.85,34,41.8,50,336.3,0
130,2.7,37,48.1,50,351,0
115,2.9,33,40.5,50,333.5,0
220,5.3,48,41.5,50,1166,0
225,5.25,49,42.9,50,1181.25,0
218,5.35,47,40.7,50,1173.3,0
230,5.15,50,43.4,50,1184.5,0
215,5.4,46,39.8,50,1161,0
380,8.6,68,43.8,50,3268,0
385,8.5,69,44.7,50,3272.5,0
375,8.7,67,42.9,50,3262.5,0
390,8.4,70,45.5,50,3276,0
370,8.8,66,41.6,50,3256,0
120,2.9,37,41.4,50,348,0
125,2.8,38,42.9,50,350,0
118,2.95,36,40.0,50,347.1,0
130,2.75,39,47.3,50,357.5,0
115,3.0,35,38.3,50,345,0
220,7.5,85,29.3,50,1650,1
225,7.8,88,28.8,50,1755,1
218,7.2,82,30.1,50,1569.6,1
230,8.1,92,28.4,50,1863,1
215,7.9,86,29.5,50,1698.5,1
380,12.2,110,31.1,50,4636,1
385,12.5,115,30.8,50,4812.5,1
375,11.9,108,31.4,50,4462.5,1
390,12.8,118,30.5,50,4992,1
370,12.0,112,30.8,50,4440,1
120,4.5,65,26.7,50,540,1
125,4.7,68,26.6,50,587.5,1
118,4.3,62,27.4,50,507.4,1
130,4.9,72,26.5,50,637,1
115,4.4,60,26.2,50,506,1
220,7.6,86,28.9,50,1672,1
225,7.9,89,28.3,50,1777.5,1
218,7.3,83,29.7,50,1587.4,1
230,8.2,93,27.9,50,1886,1
215,8.0,87,29.0,50,1720,1
380,12.3,111,30.9,50,4674,1
385,12.6,116,30.6,50,4851,1
375,12.0,109,31.3,50,4500,1
390,12.9,119,30.3,50,5031,1
370,12.1,113,30.7,50,4477,1
120,4.6,66,26.1,50,552,1
125,4.8,69,26.0,50,600,1
118,4.4,63,26.8,50,521.2,1
130,5.0,73,26.0,50,650,1
115,4.5,61,25.7,50,517.5,1
