voltage,current,temperature,resistance,frequency,power,fault
220,5,45,42,50,1100,0
230,5.1,46,45,50,1172,0
215,5.3,44,40,50,1139,0
225,5.15,47,43,50,1159,0
218,5.25,45,41,50,1144,0
380,8.5,65,44,50,3230,0
385,8.4,66,45,50,3234,0
375,8.6,64,43,50,3225,0
390,8.3,67,46,50,3237,0
370,8.7,63,42,50,3209,0
120,2.8,35,42,50,336,0
125,2.75,36,45,50,343,0
118,2.85,34,41,50,336,0
130,2.7,37,48,50,351,0
115,2.9,33,40,50,333,0
220,5.2,46,41,50,1142,0
230,5.05,47,44,50,1171,0
215,5.35,45,40,50,1140,0
225,5.1,48,42,50,1157,0
218,5.3,44,40,50,1145,0
220,7.5,85,29,50,1650,1
225,7.8,88,28,50,1755,1
218,7.2,82,30,50,1569,1
230,8.1,92,28,50,1863,1
215,7.9,86,29,50,1698,1
380,12.2,110,31,50,4636,1
385,12.5,115,30,50,4812,1
375,11.9,108,31,50,4462,1
390,12.8,118,30,50,4992,1
370,12,112,30,50,4440,1
120,4.5,65,26,50,540,1
125,4.7,68,26,50,587,1
118,4.3,62,27,50,507,1
130,4.9,72,26,50,637,1
115,4.4,60,26,50,506,1
220,7.6,86,28,50,1672,1
225,7.9,89,28,50,1777,1
218,7.3,83,29,50,1587,1
230,8.2,93,27,50,1886,1
215,8,87,29,50,1720,1
